Date,Close
2022-03-16,1093.55
2022-03-17,1129.2
2022-03-21,1122.7
2022-03-22,1151.7
2022-03-23,1155.37
2022-03-24,1173.32
2022-03-25,1181.14
2022-03-28,1193.02
2022-03-29,1193.29
2022-03-30,1216.22
2022-03-31,1198.84
2022-04-01,1208.44
2022-04-04,1212.02
2022-04-05,1194.88
2022-04-06,1191.7
2022-04-07,1170.68
2022-04-08,1190.15
2022-04-11,1187.67
2022-04-12,1165.31
2022-04-13,1161.03
2022-04-18,1157.48
2022-04-19,1201.6
2022-04-20,1236.93
2022-04-21,1265.89
2022-04-22,1255.29
2022-04-25,1226.26
2022-04-26,1262.95
2022-04-27,1264.18
2022-04-28,1283.07
2022-04-29,1269.6
2022-05-02,1265.14
2022-05-04,1225.64
2022-05-05,1201.64
2022-05-06,1192.43
2022-05-09,1145.86
2022-05-10,1126.0
2022-05-11,1114.46
2022-05-12,1091.76
2022-05-13,1104.13
2022-05-16,1104.41
2022-05-17,1150.79
2022-05-18,1154.98
2022-05-19,1128.36
2022-05-20,1194.16
2022-05-23,1186.17
2022-05-24,1190.24
2022-05-25,1188.49
2022-05-26,1177.16
2022-05-27,1171.7
2022-05-30,1212.52
2022-05-31,1197.89
2022-06-01,1198.27
2022-06-02,1239.59
2022-06-03,1264.71
2022-06-06,1259.27
2022-06-07,1261.63
2022-06-08,1239.48
2022-06-09,1273.46
2022-06-10,1235.02
2022-06-13,1211.65
2022-06-14,1195.82
2022-06-15,1181.35
2022-06-16,1164.83
2022-06-17,1178.48
2022-06-20,1157.12
2022-06-21,1175.8
2022-06-22,1140.08
2022-06-23,1121.58
2022-06-24,1137.55
2022-06-27,1134.19
2022-06-28,1150.13
2022-06-29,1174.0
2022-06-30,1181.05
2022-07-01,1095.99
2022-07-04,1098.26
2022-07-05,1107.16
2022-07-06,1097.42
2022-07-07,1086.61
2022-07-08,1088.12
2022-07-11,1102.9
2022-07-12,1101.33
2022-07-13,1081.81
2022-07-14,1090.73
2022-07-15,1092.85
2022-07-18,1102.15
2022-07-19,1108.91
2022-07-20,1138.9
2022-07-21,1131.3
2022-07-22,1138.94
2022-07-25,1101.31
2022-07-26,1101.81
2022-07-27,1100.77
2022-07-28,1118.01
2022-07-29,1141.83
2022-08-01,1171.59
2022-08-02,1176.05
2022-08-03,1185.92
2022-08-04,1170.25
2022-08-05,1153.0
2022-08-08,1168.08
2022-08-10,1175.07
2022-08-11,1178.98
2022-08-12,1198.05
2022-08-16,1206.37
2022-08-17,1212.68
2022-08-18,1214.87
2022-08-19,1193.21
2022-08-22,1189.9
2022-08-23,1208.26
2022-08-24,1205.04
2022-08-25,1201.52
2022-08-26,1195.11
2022-08-29,1185.82
2022-08-30,1204.22
2022-09-01,1168.81
2022-09-02,1155.16
2022-09-05,1173.1
2022-09-06,1185.45
2022-09-07,1178.56
2022-09-08,1180.23
2022-09-09,1172.88
2022-09-12,1186.0
2022-09-13,1195.91
2022-09-14,1181.57
2022-09-15,1169.86
2022-09-16,1140.88
2022-09-19,1142.36
2022-09-20,1142.54
2022-09-21,1145.69
2022-09-22,1134.9
2022-09-23,1113.62
2022-09-26,1085.25
2022-09-27,1093.88
2022-09-28,1064.76
2022-09-29,1061.49
2022-09-30,1085.43
2022-10-03,1081.67
2022-10-04,1101.62
2022-10-06,1105.68
2022-10-07,1110.36
2022-10-10,1098.24
2022-10-11,1076.37
2022-10-12,1084.29
2022-10-13,1087.74
2022-10-14,1082.22
2022-10-17,1099.59
2022-10-18,1118.99
2022-10-19,1138.46
2022-10-20,1141.52
2022-10-21,1128.28
2022-10-24,1132.04
2022-10-25,1114.56
2022-10-27,1118.94
2022-10-28,1153.18
2022-10-31,1163.88
2022-11-01,1154.87
2022-11-02,1162.08
2022-11-03,1166.42
2022-11-04,1183.58
2022-11-07,1189.9
2022-11-09,1188.72
